Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE333,   0.204244,   -48.19, 4.05341E-010,  -163.24, 8.48515E-010,   -95.91,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 4.05341E-010,    16.76, 8.48515E-010,    84.09,          0,     0.00,   0.204244,   131.81
Line.LINE334, 1.41036E-011,   -88.27, 6.30561E-011,  -171.29,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 1.41036E-011,    91.73, 6.30561E-011,     8.71,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE335,   0.476447,   -48.18, 1.59025E-010,    28.99, 8.44718E-010,   -92.34,          0,     0.00,   0.476447,   -48.18,   0.476447,   131.82, 1.59025E-010,  -151.01, 8.44718E-010,    87.66,          0,     0.00,   0.476447,   131.82
Line.LINE336, 1.19573E-011,  -138.28, 1.50226E-011,   179.13,   0.222759,    71.79,          0,     0.00,   0.222759,    71.79, 1.19573E-011,    41.72, 1.50226E-011,    -0.87,   0.222759,  -108.21,          0,     0.00,   0.222759,  -108.21
Line.LINE337, 8.64813E-010,   -37.36,    2.73964,  -168.24, 1.60027E-009,    95.30,          0,     0.00,    2.73964,  -168.24, 8.64813E-010,   142.64,    2.73964,    11.76, 1.60027E-009,   -84.70,          0,     0.00,    2.73964,    11.76
Line.LINE338,     5.8174,   -48.16,   0.648761,  -168.27,    1.13658,    71.81,          0,     0.00,    4.94235,   -43.25,     5.8174,   131.84,   0.648761,    11.73,    1.13658,  -108.19,          0,     0.00,    4.94235,   136.75
Line.LINE339,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE340,   0.204244,   -48.19, 3.65261E-010,  -161.57, 7.03486E-010,   -96.83,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 3.65261E-010,    18.43, 7.03486E-010,    83.17,          0,     0.00,   0.204244,   131.81
Line.LINE341, 1.10566E-011,     0.59, 2.09647E-012,   164.27,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 1.10566E-011,  -179.41, 2.09647E-012,   -15.73,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE342,   0.231417,   -48.18, 1.31958E-011,  -154.48, 1.46652E-011,   -82.87,          0,     0.00,   0.231417,   -48.18,   0.231417,   131.82, 1.31958E-011,    25.52, 1.46652E-011,    97.13,          0,     0.00,   0.231417,   131.82
Line.LINE343,   0.245029,   -48.18, 1.47564E-010,    38.27, 8.15305E-010,   -91.79,          0,     0.00,   0.245029,   -48.18,   0.245029,   131.82, 1.47564E-010,  -141.73, 8.15305E-010,    88.21,          0,     0.00,   0.245029,   131.82
Line.LINE344, 8.60261E-010,   -37.41,    2.73964,  -168.24, 1.6293E-009,    95.22,          0,     0.00,    2.73964,  -168.24, 8.60261E-010,   142.59,    2.73964,    11.76, 1.6293E-009,   -84.78,          0,     0.00,    2.73964,    11.76
Line.LINE345,     5.8174,   -48.16,   0.648761,  -168.27,    1.13658,    71.81,          0,     0.00,    4.94235,   -43.25,     5.8174,   131.84,   0.648761,    11.73,    1.13658,  -108.19,          0,     0.00,    4.94235,   136.75
Line.LINE346,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
